TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""DESCOSTURANDO COM HERCHCOVITCH"" TEMPORADA 2";B2400134000000;04/04/2024;DEFERIDO;REALITY-SHOW;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;460;10;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MOOD HUNTER PRODUÇÕES LTDA;06.177.126/0001-12;SP;SÃO PAULO
(IN)CONFIDENCIAS;B2400151600000;15/04/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;104;8;2023;2023;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;UNIVERSIDADE FEDERAL DE OURO PRETO;23.070.659/0001-10;MG;OURO PRETO
02 DE JULHO: A RETOMADA;B2400226700000;04/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;46;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;JOANA ARANHA MONCAU;PESSOA FÍSICA;SP;SÃO PAULO
12 MINUTOS DE CREPÚSCULO PARA ORIENTAR A NAVEGAÇÃO;B2400040400000;29/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;6,0;;2023;;SALAS DE EXIBIÇÃO;NÃO;VENTO LESTE PRODUÇÕES CINEMATOGRÁFICAS LTDA;35.377.602/0001-47;RS;PORTO ALEGRE
13 SENTIMENTOS;B2400158500000;17/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;100;;2024;;SALAS DE EXIBIÇÃO;NÃO;LACUNA FILMES LTDA;08.677.301/0001-66;SP;SÃO PAULO
140 ANOS DE CARANGOLA;B2400087200000;28/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15,1;;2024;;NENHUMA DAS OPÇÕES;NÃO;FRAME PRODUTORA AUDIOVISUAL - LTDA;37.317.214/0001-04;MG;CARANGOLA
15 MINUTOS DE FAMA... E SAMBA!;B2400038700000;26/01/2024;DEFERIDO;JORNALÍSTICA;;COMUM;SERIADA EM TEMPORADA ÚNICA;600;20;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ARTHUR PEREIRA SILVA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
1538°C - THE IRON HUMAN;B2400262600000;28/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;94,6;;2024;;SALAS DE EXIBIÇÃO;NÃO;GRATTITUDE FILMS PRODUCTIONS LTDA;30.693.863/0001-52;SP;RIBEIRÃO PRETO
1986;B2400171300000;24/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;260;10;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;EDER SAN JÚNIOR CINEMATOGRÁFICA E ARTE LTDA;09.207.344/0001-40;MG;BELO HORIZONTE
2º TEMP. - JACARELVIS E AMIGOS - SÉRIE MUSICAL;B2400020700000;16/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;105;15;2022;2022;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;AE PRODUCOES CULTURAIS LTDA EPP;12.355.705/0001-00;SP;CAMPINAS
3;B2400178400000;30/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,7;;2024;;SALAS DE EXIBIÇÃO;NÃO;DONA CARLOTA PRODUÇÕES LTDA;46.054.549/0001-60;SP;RIO CLARO
3 PALAVRINHAS - VOLUME 1;B2400012300000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;15,5;7;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS - VOLUME 2;B2400012400000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;9,1;4;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS - VOLUME 3;B2400012500000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;8,9;4;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS - VOLUME 4;B2400012700000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;23,1;9;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS - VOLUME 5;B2400012800000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;11,3;5;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS - VOLUME 6;B2400012900000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;20,5;8;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS - VOLUME 7;B2400013100000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;12,2;5;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS - VOLUME 8;B2400013200000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;26,5;10;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS MINI - TEMPORADA 1;B2400014000000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;33,4;20;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS MINI - TEMPORADA 2;B2400014100000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;20,9;12;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
3 PALAVRINHAS MINI - TEMPORADA 3;B2400014200000;11/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;16,1;8;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANIMASSAURO PRODUÇÕES LTDA;06.077.962/0001-25;MG;BELO HORIZONTE
31;B2400110800000;14/03/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,9;;2023;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;MGFS PRODUCOES ARTISTICAS LTDA;33.440.581/0001-31;SP;SÃO PAULO
3ª BIENAL DA BAHIA;B2400111700000;14/03/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;36,3;;2024;;NENHUMA DAS OPÇÕES;NÃO;LUA DE MARÉ PRODUÇÕES LTDA.;26.338.521/0001-47;BA;SALVADOR
40 DIAS NO DESERTO;B2400005900000;08/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15,0;;2023;;SALAS DE EXIBIÇÃO;NÃO;ELIPSE FILMS LTDA;31.589.425/0001-01;SP;SOROCABA
56 DIAS;B2400151700000;15/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;33,9;;2024;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;LUA DE MARÉ PRODUÇÕES LTDA.;26.338.521/0001-47;BA;SALVADOR
8/1 - A DEMOCRACIA RESISTE;B2400002500000;05/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;68;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
@GAROTAMASCARADA;B2400006500000;08/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,6;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FUNDACAO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
A BANDA DO CHICO;B2400235000000;11/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;196;7;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.;04.334.366/0001-58;SP;SÃO PAULO
A BATA DO MILHO;B2400132000000;03/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15,9;;2024;;SALAS DE EXIBIÇÃO;NÃO;GRAO DIGITAL LTDA;44.476.160/0001-87;SP;SÃO PAULO
A BATALHA DA RUA MARIA ANTÔNIA;B2400015800000;12/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;85,3;;2024;;SALAS DE EXIBIÇÃO;NÃO;PARANOID FILMES LTDA;11.140.814/0001-48;SP;SÃO PAULO
A CARA DO VERÃO;B2400002300000;04/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,7;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ART MIL PRODUCOES OFICINAS E EVENTOS CULTURAIS LTDA;14.105.727/0001-48;RJ;RIO DE JANEIRO
A CARTA DE ESPERANÇA GARCIA;B2400202500000;16/05/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;105,9;;2024;;SALAS DE EXIBIÇÃO;NÃO;TRINCA FILMES LTDA.;02.533.399/0001-00;PI;TERESINA
A CASA DA VÓ;B2400247600000;18/06/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;21,0;;2024;;SALAS DE EXIBIÇÃO;NÃO;Z97 FILMES LTDA;46.098.150/0001-80;RS;GAURAMA
A CAVERNA ENCANTADA;B2400111800000;14/03/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;12400;310;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;TVSBT CANAL 4 DE SAO PAULO S/A;45.039.237/0001-14;SP;OSASCO
A CHAVE PARA UM JARDIM;B2400070500000;19/02/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;1,8;;2024;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;RICARDO SILVA DE ARAUJO;PESSOA FÍSICA;BA;ITAJU DO COLÔNIA
A CHEIA DO RIO GRANDE;B2400252200000;20/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;75;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
A CURA DOS CORPOS;B2400218400000;27/05/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;19,9;;2024;;SALAS DE EXIBIÇÃO;NÃO;BILATERAL FILMES LTDA;17.167.143/0001-95;SP;SUMARÉ
A CURVA DOS 90;B2400011700000;11/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;71,5;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;MUSEU DA MEMORIA AUDIOVISUAL DO MARANHAO EIRELI;28.640.933/0001-62;MA;SÃO LUÍS
A CÁPSULA;B2400156200000;16/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;92,7;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;FELIPE COSMOS DE OLIVEIRA;24.931.704/0001-46;PR;MARINGÁ
A DISTÂNCIA;B2400001900000;03/01/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,2;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FERNANDO DA SILVA REZENDE ***********;31.965.829/0001-52;RJ;SÃO JOÃO DE MERITI
A ENTRADA DE CLÓVIS;B2400073600000;20/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;11,9;;2024;;VIDEO DOMÉSTICO;NÃO;MARCELO ALBUQUERQUE LTDA;28.169.451/0001-76;RJ;RIO DE JANEIRO
A ENTREVISTA;B2400016400000;12/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,1;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FUNDACAO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
A FUMAÇA E O DIAMANTE;B2400019100000;16/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,5;;2024;;SALAS DE EXIBIÇÃO;NÃO;CAMBARA LTDA;22.318.373/0001-48;AM;MANAUS
A GRANDE CONQUISTA;B2400163800000;18/04/2024;DEFERIDO;REALITY-SHOW;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;6160;88;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;RADIO E TELEVISAO RECORD S.A;60.628.369/0001-75;SP;SÃO PAULO
A HISTÓRIA DE DANIEL;B2400116200000;19/03/2024;DEFERIDO;RELIGIOSA;;COMUM;NÃO SERIADA;125;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;RADIO E TELEVISAO RECORD S.A;60.628.369/0001-75;SP;SÃO PAULO
A HISTÓRIA DE UMA PLANTA;B2400177000000;29/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;134,2;5;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FEEL FILMES E PRODUCOES LTDA;12.081.251/0001-27;SP;SÃO PAULO
A INGENUIDADE DA FÉ A IMPOTÊNCIA DA FÉ;B2400204500000;18/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,3;;2022;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;YANNICK SEIJI HARA DIAS;PESSOA FÍSICA;SP;SÃO PAULO
A JORNADA DO VALENTE;B2400186400000;07/05/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;16,0;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;RODRIGO CURI DE MATOS ***********;20.686.684/0001-34;RJ;RIO DE JANEIRO
A LENDA DOS CAVALEIROS DA ÁGUA;B2400194000000;10/05/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;23,2;;2024;;SALAS DE EXIBIÇÃO;NÃO;HIPERPLANO PESQUISA, CONSULTORIA E PRODUCOES LTDA - ME;25.258.691/0001-59;SP;CAMPINAS
A LIGA DO ATOL;B2400135500000;04/04/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;6,4;;2024;;NENHUMA DAS OPÇÕES;NÃO;49.968.428 ELISEU DA SILVA GOMES;49.968.428/0001-11;MG;RIBEIRÃO DAS NEVES
A LOCA DO ROLÊ;B2400021300000;16/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,8;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;EDUARDO RANGEL DA SILVA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
A LUA E O SOL;B2400157900000;16/04/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FERREIRA E NASCIMENTO PRODUÇÕES ARTISTICAS LTDA;10.565.142/0001-50;RS;CARAZINHO
A MANCHA;B2400035600000;23/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20,0;;2024;;SALAS DE EXIBIÇÃO;NÃO;35.874.953 DANIEL FRANCO DE OLIVEIRA;35.874.953/0001-63;SP;MOGI GUAÇU
A MENINA E O FLAUTISTA;B2400170700000;24/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;13;;2024;;SALAS DE EXIBIÇÃO;NÃO;8 DIGITOS PRODUCOES LTDA.;13.790.799/0001-09;SP;SÃO PAULO
A MENSAGEM POR ELAS;B2400054800000;07/02/2024;DEFERIDO;RELIGIOSA;;COMUM;SERIADA DE DURAÇÃO INDETERMINADA;1260;42;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;REDE NOVO TEMPO DE COMUNICACAO;01.385.423/0001-30;SP;JACAREÍ
A MULHER QUE CHORA;B2400112500000;15/03/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;75;;2024;;SALAS DE EXIBIÇÃO;NÃO;GRAFO AUDIOVISUAL LTDA;09.437.566/0001-50;PR;CURITIBA
A NOA - A NOVA ONDA APOCAPLISE;B2400045800000;31/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;89,9;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;PATRICIA DE SANT ANNA MAHET;PESSOA FÍSICA;RJ;RIO DE JANEIRO
A NOITE DAS GARRAFADAS;B2400009700000;09/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;24,9;;2024;;SALAS DE EXIBIÇÃO;NÃO;PORTO DAS CAIXAS PRODUÇÕES LTDA;15.624.568/0001-50;RJ;RIO DE JANEIRO
A NOITE DO CHAPÉU;B2400148500000;12/04/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;19;;2024;;SALAS DE EXIBIÇÃO;NÃO;MARITACA FILMES E PRODUCOES LTDA;50.103.954/0001-06;RJ;RIO DE JANEIRO
A PORTAS FECHADAS;B2400095000000;05/03/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;70,2;;2023;;SALAS DE EXIBIÇÃO;NÃO;A FLOR E A NAUSEA LTDA;18.584.832/0001-68;SP;SÃO PAULO
A PROTAGONISTA SOU EU;B2400060900000;14/02/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,0;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MYRELLA VANDRESEN NASCIMENTO;09.255.488/0001-72;SP;SÃO PAULO
A PUBLICIDADE ERA ASSIM...;B2400040200000;29/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;240;4;2023;2024;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;ULTRAVIOLETA PRODUCAO AUDIOVISUAL LTDA;27.390.923/0001-53;SP;SÃO PAULO
A RAINHA DA PERSIA;B2400244800000;14/06/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;1800;30;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;UNIPRO EDITORA LTDA;30.521.728/0001-20;RJ;RIO DE JANEIRO
A RAINHA DA PÉRSIA;B2400235700000;11/06/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;50;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;RADIO E TELEVISAO RECORD S.A;60.628.369/0001-75;SP;SÃO PAULO
A TERRA E UMA CANÇÃO;B2400205000000;20/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,8;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MARIANA LAVIAGUERRE PORTO;PESSOA FÍSICA;SP;SÃO PAULO
A TERRA É REDONDA ENTREVISTA;B2400254000000;21/06/2024;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;1180,8;9;2024;2024;VIDEO DOMÉSTICO;NÃO;54.870.873 DANIEL SOUZA PAVAN;54.870.873/0001-84;SP;CAMPINAS
A TRILHA TRANSCARIOCA;B2400059200000;09/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;104;4;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CONEXÃO CULTURAL SERVIÇOS LTDA;01.619.645/0001-70;RJ;RIO DE JANEIRO
A UM GOLE DA ETERNIDADE;B2400036600000;24/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;16,0;;2024;;SALAS DE EXIBIÇÃO;NÃO;PRAÇA PRODUÇÕES AUDIOVISUAIS LTDA;04.297.951/0001-25;RS;PORTO ALEGRE
