TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
VITINHO - CAOS;B2400206000000;20/05/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,1;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MARCIO CESAR FERNANDES BARROS;PESSOA FÍSICA;SP;MOGI-GUACU
VIVA A VIDA;B2400235900000;12/06/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;103,4;;2024;;SALAS DE EXIBIÇÃO;NÃO;ANANA PRODUCOES AUDIOVISUAIS E EVENTOS LTDA;01.473.536/0001-97;RJ;RIO DE JANEIRO
VIVA SALVADOR 2024;B2400139800000;05/04/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;60;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
VIVENCIAS URBANA;B2400181800000;02/05/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;108,6;;2024;;NENHUMA DAS OPÇÕES;NÃO;21.883.135 GABRIEL MACHADO DA SILVA;21.883.135/0001-12;RJ;RIO DE JANEIRO
VIVER DE AMORES (SÓ FÉ PAZ PAZ) - RAFAEL MIKE;B2400249100000;18/06/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,8;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;DECK PRODUÇÕES ARTÍSTICAS LTDA;30.253.090/0001-93;RJ;RIO DE JANEIRO
VIVER É RARO - 2ª TEMPORADA;B2400216100000;23/05/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;210;7;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;RJ SERVICOS CINE GROUP LTDA;13.021.376/0001-24;RJ;RIO DE JANEIRO
VIVO OU MORTO;B2400053300000;07/02/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;42;;2024;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;GIBRALTAR FILMES LTDA - EPP;29.185.414/0001-14;MG;BELO HORIZONTE
VNVN;B2400198600000;15/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;1,9;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GABRIELLA MEDRADO CALDAS DE ANDRADE;PESSOA FÍSICA;RJ;RIO DE JANEIRO
VOCAL LIVRE (TEMPO)RAL AO VIVO;B2400047700000;01/02/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;90,0;;2024;;SALAS DE EXIBIÇÃO;NÃO;AM DE MORAIS PRODUCOES E EVENTOS;13.489.036/0001-22;SP;SÃO BERNARDO DO CAMPO
VOCÊ;B2400261000000;27/06/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;7,4;;2024;;SALAS DE EXIBIÇÃO;NÃO;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;72.062.029/0001-09;RJ;RIO DE JANEIRO
VOCÊ SABE QUE COMIGO É MELHOR;B2400189900000;08/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,6;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;47.707.461 BARBARA DA SILVA FIGUEIREDO;47.707.461/0001-62;SP;SÃO PAULO
VOCÊ VAI LEMBRAR DE MIM;B2400046600000;31/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,1;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;BANDA NX ZERO LTDA;10.597.153/0001-11;SP;SÃO PAULO
VOLTINHA;B2400183600000;06/05/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,9;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;C & C PRODUCOES E SHOWS LTDA;08.907.300/0001-60;GO;GOIÂNIA
VOU COMPLICAR, VOU RESOLVER;B2400213200000;21/05/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,5;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;DANIEL BAROSA PRODUCOES CINEMATOGRAFICAS;16.996.201/0001-20;SP;SÃO PAULO
VOZ DA PELE;B2400004700000;08/01/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;130;5;2024;2024;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ATELIER W PRODUCOES CINEMATOGRAFICAS LTDA;10.468.552/0001-82;RS;PORTO ALEGRE
VÍDEO EDUCACIONAIS SOBRE PARA PESSOAS COM ÚLCERAS VENOSAS E CUIDADORES: TECNOLOGIAS AVANÇADAS;B2400091000000;04/03/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;8;4;2024;2024;NENHUMA DAS OPÇÕES;NÃO;RICSON ROMÁRIO NASCIMENTO;PESSOA FÍSICA;PR;CURITIBA
VÍDEO EDUCATIVO SOBRE CUIDADOS PÓS-AVC PARA CUIDADORES FAMILIARES DE IDOSOS;B2400069600000;19/02/2024;DEFERIDO;VARIEDADES;Vídeoaula;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;7,9;;2024;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;FABRÍCIA LUCCA BORBA;PESSOA FÍSICA;PR;CURITIBA
VÍDEOS EDUCATIVOS SOBRE METODOLOGIAS ATIVAS PARA O ENSINO EM SAÚDE ASSOCIADAS AS TECNOLOGIAS DIGITAI;B2400018100000;15/01/2024;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,8;;2024;;VIDEO DOMÉSTICO;NÃO;SELMA KAZUMI DA TRINDADE NOGUCHI;PESSOA FÍSICA;PA;BELÉM
W7M CAST;B2400006200000;08/01/2024;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;720;12;2023;2023;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TRENDSPACE LTDA;27.374.236/0001-44;SP;SÃO PAULO
WANESSA CAMARGO – FORA DO RADAR;B2400003500000;05/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;7,8;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;WANESSA GODOI CAMARGO BUAIZ;12.243.246/0001-73;SP;SÃO PAULO
WANESSA CAMARGO – FRAGMENTOS;B2400003700000;05/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;WANESSA GODOI CAMARGO BUAIZ;12.243.246/0001-73;SP;SÃO PAULO
WANESSA CAMARGO – LUA CHEIA;B2400003800000;05/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,5;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;WANESSA GODOI CAMARGO BUAIZ;12.243.246/0001-73;SP;SÃO PAULO
WANESSA CAMARGO – NÃO DEVO NADA;B2400003900000;05/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,5;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;WANESSA GODOI CAMARGO BUAIZ;12.243.246/0001-73;SP;SÃO PAULO
WANESSA CAMARGO – PARTE DE MIM;B2400004000000;05/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,5;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;WANESSA GODOI CAMARGO BUAIZ;12.243.246/0001-73;SP;SÃO PAULO
WANESSA CAMARGO – QUEM SOU EU;B2400004100000;05/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,1;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;WANESSA GODOI CAMARGO BUAIZ;12.243.246/0001-73;SP;SÃO PAULO
WANESSA CAMARGO – VELOCIDADE FEAT. BRASA;B2400004200000;05/01/2024;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,0;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;WANESSA GODOI CAMARGO BUAIZ;12.243.246/0001-73;SP;SÃO PAULO
WEB SÉRIE CRIMES FAMOSOS;B2400177200000;29/04/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;64,9;2;2024;2024;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;AUGUSTO DA SILVA VASCONCELOS;PESSOA FÍSICA;RJ;NOVA IGUAÇU
WERDUM, ACIMA DA DOR;B2400061100000;15/02/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;50,7;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;REAL FILMES & PRODUÇÕES LTDA - ME;10.368.669/0001-94;SP;SÃO PAULO
WHISPERING;B2400040500000;29/01/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15,8;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;KNOLL PRODUCOES AUDIOVISUAIS LTDA;10.470.038/0001-81;SP;SÃO PAULO
